Committee ID,Committee FEC Name,Associated candidate and district,112th-118th Congress: Number of Life at Conception cosponsorships,Life at Conception 118th Congress cosponsor,Life at Conception 117th Congress cosponsor,Life at Conception 116th Congress cosponsor,Life at Conception 115th Congress cosponsor,Life at Conception 114th Congress cosponsor,Life at Conception 113th Congress cosponsor,Life at Conception 112th Congress cosponsor,Voted against certifying 2020 election,RSC Member,Voted to repeal ACA (American Health Care Act),PACT Act,Mifepristone amicus brief,Election overturn amicus brief,Voted against Bipartisan Infrastructure Law,Voted against the PRO Act,Voted for Tax Cuts and Jobs Act,Voted against Inflation Reduction Act
C00516013,WINNOVEMBER POLITICAL ACTION COMMITTEE,Steve Chabot (former OH-01),6,,1,1,1,1,1,1,1,,1,,,,1,1,1,1
C00634519,DEFEND FREEDOM POLITICAL ACTION COMMITTEE,Warren Davidson (OH-08),5,1,1,1,1,1,,,1,1,1,,,,1,1,1,1
C00600718,DAVIDSON FOR CONGRESS,Warren Davidson (OH-08),5,1,1,1,1,1,,,1,1,1,,,,1,1,1,1
C00466516,GIBBS FOR CONGRESS,Bob Gibbs (former OH-07),6,,1,1,1,1,1,1,1,,1,,,1,1,1,1,1
C00476820,JOHNSON FOR CONGRESS,Bill Johnson (former OH-06),7,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1
C00545079,BELIEF IN LIFE AND LIBERTY POLITICAL ACTION COMMITTEE (BILL'S PAC),Bill Johnson (former OH-06),7,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1
C00680819,BUCKEYE PAC,Anthony Gonzalez (former OH-16),0,,,,,,,,,,,,,,,1,,1
C00654079,ANTHONY GONZALEZ FOR CONGRESS,Anthony Gonzalez (former OH-16),0,,,,,,,,,,,,,,,1,,1
C00416594,JIM JORDAN FOR CONGRESS,Jim Jordan (OH-04),6,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
C00552851,HOUSE FREEDOM FUND,Jim Jordan (OH-04),6,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
C00693796,BUCKEYE LIBERTY POLITICAL ACTION COMMITTEE,Jim Jordan (OH-04),6,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
C00527457,FRIENDS OF DAVE JOYCE,David Joyce (OH-14),,,,,,,,,,,,,,,1,1,1,1
C00571216,DEFENDING AMERICAN VALUES EVERYWHERE PAC,David Joyce (OH-14),,,,,,,,,,,,,,,1,1,1,1
C00438697,LATTA FOR CONGRESS,Robert E. Latta (OH-05),7,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1
C00485540,LEADERSHIP FOR AMERICA TODAY TOMORROW AND ALWAYS PAC,Robert E. Latta (OH-05),7,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1
C00466359,JIM RENACCI FOR CONGRESS,James Renacci (former OH-16),4,,,,1,1,1,1,,,1,,,,,,,
C00494757,AMERICA'S FUTURE FUND PAC,James Renacci (former OH-16),4,,,,1,1,1,1,,,1,,,,,,,
C00410647,SCHMIDT FOR CONGRESS COMMITTEE,Jean Schmidt (former OH-02),1,,,,,,,1,,,,,,,,,,
C00501478,SUPPORT TO ENSURE VICTORY EVERYWHERE PAC-STEVE PAC,Stivers (OH),0,,,,,,,,,,1,,,,,1,1,
C00441352,STIVERS FOR CONGRESS,Stivers (OH),0,,,,,,,,,,1,,,,,1,1,
C00347492,FRIENDS OF TIBERI,Pat Tiberi (OH),0,,,,,,,,,,1,,,,,,1,
C00325357,PIONEER POLITICAL ACTION COMMITTEE,Pat Tiberi (OH),0,,,,,,,,,,1,,,,,,1,
C00590356,BUILDING AND RESTORING THE AMERICAN DREAM FUND,Brad Wenstrup (OH-02),5,,1,1,1,1,1,,,1,1,,1,1,1,1,1,1
C00497818,WENSTRUP FOR CONGRESS,Brad Wenstrup (OH-02),5,,1,1,1,1,1,,,1,1,,1,1,1,1,1,1
C00812974,JOSH BRECHEEN FOR CONGRESS,Josh Brecheen (OK-02),1,1,,,,,,,,1,,,1,,,,,
C00827394,BLESSING OF LIBERTY,Josh Brecheen (OK-02),1,1,,,,,,,,1,,,1,,,,,
C00502393,FRIENDS OF JIM BRIDENSTINE INC.,Jim Bridenstine (former OK-01),2,,,,,1,1,,,,1,,,,,,1,
C00571851,JOINING TO ELEVATE THE TRUTH PAC (JETT PAC),Jim Bridenstine (former OK-01),2,,,,,1,1,,,,1,,,,,,1,
C00703843,BICE FOR CONGRESS,Stephanie Bice (OK-05),0,,,,,,,,1,1,,,1,,1,1,,1
